U09;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
9008000;Head of State;ホルヘ・ウビコ・カスタネダ;36;PA;Pig-headed Isolationist;High;M46001;x
9008001;Head of Government;ホルヘ・ウビコ・カスタネダ;36;PA;Silent Workhorse;High;M46001;x
9008002;Foreign Minister;アルフレド・スキナー・クレー;36;PA;The Cloak N Dagger Schemer;Medium;M46003;x
9008003;Minister of Armament;ギリェルモ・フロレス・アレンダノ;36;PA;Infantry Proponent;Medium;M46004;x
9008004;Minister of Security;T・カストロ・ドミンゲス;36;PA;Crooked Kleptocrat;Medium;M46005;x
9008005;Head of Military Intelligence;エドゥアルド・ビジャグラン・アリサ;36;PA;Logistics Specialist;Medium;M46006;x
9008006;Chief of Staff;フェデリコ・ポンセ・バイデス;36;PA;School of Manoeuvre;Medium;M46007;x
9008007;Chief of Army;ホルヘ・ウビコ・カスタネダ;36;PA;Static Defence Doctrine;High;M46001;x
9008008;Chief of Navy;トマス・メンドーサ・ウリベ;36;PA;Indirect Approach Doctrine;Medium;M46009;x
9008009;Chief of Air Force;R・ブエナベントゥレ・ピネダ;36;PA;Army Aviation Doctrine;Medium;M46010;x
9008010;Head of State;ハコポ・アルベンス・グスマン;44;LWR;Popular Figurehead;High;M46021;x
9008011;Head of State;ファン・アレバロ・ベルメホ;45;SD;Die-hard Reformer;High;M46022;x
9008012;Head of State;ホルヘ・トリエーリョ・ガリド;45;SL;Resigned Generalissimo;High;M46011;x
9008013;Head of State;R・ブエナベントゥレ・ピネダ;45;SC;Resigned Generalissimo;High;M46010;x
9008014;Head of State;フェデリコ・ポンセ・バイデス;44;PA;Barking Buffoon;High;M46007;x
9008015;Head of Government;フランシスコ・ハビエル・アラナ;44;LWR;Naive Optimist;High;M46027;x
9008016;Head of Government;ファン・アレバロ・ベルメホ;45;SD;Backroom Backstabber;High;M46022;x
9008017;Head of Government;マヌエル・オレリャナ;45;SL;Smiling Oilman;High;M46012;x
9008018;Head of Government;エドゥアルド・ビジャグラン・アリサ;45;SC;Political Protege;High;M46006;x
9008019;Head of Government;マヌエル・アロヨ;37;FA;Old Admiral;High;M46031;x
9008020;Head of Government;R・ブエナベントゥレ・ピネダ;44;PA;old airmarshal;High;M46010;x
9008021;Head of Government;エドゥアルド・ビジャグラン・アリサ;44;PA;Happy Amateur;High;M46006;x
9008022;Foreign Minister;カルロス・アルグメド・サラサル;44;LWR;The Cloak N Dagger Schemer;Medium;M46035;x
9008023;Foreign Minister;ホルヘ・トリエーリョ・ガリド;45;SD;General Staffer;Medium;M46011;x
9008024;Foreign Minister;エンリケ・ムノス・メアニ;46;SD;Biased Intellectual;Medium;M46037;x
9008025;Foreign Minister;フランシスコ・ハビエル・アラナ;45;SC;Iron Fisted Brute;Medium;M46027;x
9008026;Foreign Minister;カルロス・アルグメド・サラサル;37;PA;Great Compromiser;Medium;M46035;x
9008027;Minister of Armament;ファン・アレバロ・ベルメホ;44;LWR;Resource Industrialist;Medium;M46022;x
9008028;Minister of Armament;ハコポ・アルベンス・グスマン;45;SD;Infantry Proponent;Medium;M46021;x
9008029;Minister of Armament;ディエゴ・A・カストロ・アリゴン;46;SD;Administrative Genius;Medium;M46044;x
9008030;Minister of Armament;フリオ・エレーラ;45;SL;Resource Industrialist;Medium;M46045;x
9008031;Minister of Armament;ホセ・マトス;45;SC;laissez-faire capitalist;Medium;M46014;x
9008032;Minister of Armament;T・カストロ・ドミンゲス;37;PA;Corrupt Kleptocrat;Medium;M46005;x
9008033;Minister of Armament;マヌエル・アロヨ;40;PA;Theoretical Scientist;Medium;M46031;x
9008034;Minister of Armament;フェデリコ・ポンセ・バイデス;44;PA;Tank Proponent;Medium;M46007;x
9008035;Minister of Security;マヌエル・オレリャナ;44;LWR;Crime Fighter;Medium;M46012;x
9008036;Minister of Security;マヌエル・バリャダレス;45;SD;Silent Lawyer;Medium;M46015;x
9008037;Minister of Security;トマス・メンドーサ・ウリベ;45;SL;Silent Lawyer;Medium;M46009;x
9008038;Minister of Security;カルロス・カスティリョ・アルマス;45;SC;Silent Lawyer;Medium;M46053;x
9008039;Minister of Security;アルフレド・スキナー・クレー;37;PA;Compassionate Gentleman;Medium;M46003;x
9008040;Minister of Security;フェデリコ・ポンセ・バイデス;40;PA;Efficient Sociopath;Medium;M46007;x
