U07;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
9006000;Head of State;ゾグ1世;36;PA;Insignificant Layman;high;M32001;x
9006001;Head of Government;ミダート・フラシェリ;36;PA;Corporate Suit;high;M32002;x
9006002;Foreign Minister;フアト・アスラム;36;PA;Apologetic Clerk;high;M32003;x
9006003;Minister of Armament;ローク・ゲラジ;36;PA;Corrupt Kleptocrat;high;M32004;x
9006004;Minister of Security;ジョスリン・パーシー;36;PA;Prince of Terror;high;M32005;x
9006005;Head of Military Intelligence;ゾグ1世;36;PA;Logistics Specialist;high;M32006;x
9006006;Chief of Staff;ケマル・コマニ;36;PA;School of Defence;high;M32007;x
9006007;Chief of Army;ステフキ・シャトゥン;36;PA;Static Defence Doctrine;high;M32008;x
9006008;Chief of Navy;クアマル・パカジ;36;PA;Indirect Approach Doctrine;high;M32009;x
9006009;Chief of Air Force;ジョスリン・パーシー;36;PA;Army Aviation Doctrine;high;M32005;x
9006010;Head of State;テフィク・ムボルジャ;39;PA;Pig-headed Isolationist;high;M32021;x
9006011;Head of State;イブラヒム・ビカク;42;PA;Stern Imperialist;high;M32042;x
9006012;Head of State;フィクリ・ディネ;44;PA;Die-hard Reformer;high;M32043;x
9006013;Head of State;テオファン・ノリ;36;SC;Weary Stiffneck;high;M32011;x
9006014;Head of State;ラザール・フンドゥア;41;SC;Popular Figurehead;high;M32013;x
9006015;Head of State;レシェプ・ミトロヴィカ;44;SC;Insignificant Layman;high;M32046;x
9006016;Head of State;シェフケト・ヴァーラシ;39;FA;Autocratic Charmer;high;M32047;x
9006017;Head of State;エクレム・リボホヴァ;42;FA;Powerhungry Demagogue;high;M32048;x
9006018;Head of State;オメル・ニシャニ;36;ST;Resigned Generalissimo;high;M32032;x
9006019;Head of State;セジフラ・マェレショヴァ;45;ST;Popular Figurehead;high;M32050;x
9006020;Head of State;エンヴェル・ホッジャ;47;ST;Ruthless Powermonger;high;M32051;x
9006021;Head of Government;コスタク・コタ;39;PA;Smiling Oilman;high;M32052;x
9006022;Head of Government;ジュップ・カザジ;41;PA;Happy Amateur;high;M32015;x
9006023;Head of Government;メフディ・フラシェリ;44;PA;Corporate Suit;high;M32054;x
9006024;Head of Government;テオファン・ノリ;39;SC;Naive Optimist;high;M32011;x
9006025;Head of Government;シャファー・イェピ;41;SC;Political Protege;high;M32056;x
9006026;Head of Government;ムスタファ・メルリカ;44;SL;Happy Amateur;high;M32057;x
9006027;Head of Government;シェフケト・ヴァーラシ;39;FA;Flamboyant Tough Guy;high;M32047;x
9006028;Head of Government;エクレム・リボホヴァ;42;FA;Corporate Suit;high;M32048;x
9006029;Head of Government;オメル・ニシャニ;36;ST;Silent Workhorse;high;M32032;x
9006030;Head of Government;セジフラ・マェレショヴァ;42;ST;Naive Optimist;high;M32050;x
9006031;Head of Government;エンヴェル・ホッジャ;44;ST;Backroom Backstabber;high;M32051;x
9006032;Foreign Minister;メフディ・フラシェリ;39;PA;Apologetic Clerk;high;M32054;x
9006033;Foreign Minister;フィクリ・ディネ;42;PA;Great Compromiser;high;M32043;x
9006034;Foreign Minister;ナジム・デドリ;44;PA;Iron Fisted Brute;high;M32066;x
9006035;Foreign Minister;ラザール・フンドゥア;36;SC;Great Compromiser;high;M32013;x
9006036;Foreign Minister;テオファン・S・ノリ;40;SC;Ideological Crusader;high;M32068;x
9006037;Foreign Minister;アリ・ケルメンディ;42;SC;Iron Fisted Brute;high;M32031;x
9006038;Foreign Minister;レシェプ・ミトロヴィカ;43;SC;Apologetic Clerk;high;M32046;x
9006039;Foreign Minister;シェフケト・シュクピ;44;SL;Biased Intellectual;high;M32071;x
9006040;Foreign Minister;テフィク・ムボルジャ;39;FA;The Cloak N Dagger Schemer;high;M32021;x
9006041;Foreign Minister;ハッサン・ベゴリ;41;FA;Biased Intellectual;high;M32073;x
9006042;Foreign Minister;コル・ビベ・ミラカジ;42;FA;General Staffer;high;M32074;x
9006043;Foreign Minister;ヌヒ・ベリシャ;43;FA;Iron Fisted Brute;high;M32075;x
9006044;Foreign Minister;オメル・ニシャニ;36;ST;Ideological Crusader;high;M32032;x
9006045;Foreign Minister;ハッサン・シャカビ;42;ST;Iron Fisted Brute;high;M32077;x
9006046;Foreign Minister;エッサド・パチャ;44;ST;Apologetic Clerk;high;M32036;x
9006047;Minister of Armament;ジョスリン・パーシー;37;PA;Air to Ground Proponent;high;M32005;x
9006048;Minister of Armament;クアマル・パカジ;39;PA;Submarine Proponent;high;M32009;x
9006049;Minister of Armament;スティッフェン・デルヴィン;41;PA;Air to Sea Proponent;high;M32020;x
9006050;Minister of Armament;イスマエル・ガクサ;42;PA;Battle Fleet Proponent;high;M32029;x
9006051;Minister of Armament;フィクリ・ディネ;43;PA;Corrupt Kleptocrat;high;M32043;x
9006052;Minister of Armament;ハクシ・レシ;36;SC;laissez-faire capitalist;high;M32014;x
9006053;Minister of Armament;シェフケト・シュクピ;40;SL;Battle Fleet Proponent;high;M32071;x
9006054;Minister of Armament;レシェプ・ミトロヴィカ;41;SC;Air to Sea Proponent;high;M32046;x
9006055;Minister of Armament;コスタク・コタ;42;SC;Strategic Air Proponent;high;M32052;x
9006056;Minister of Armament;シャファー・イェピ;43;SC;Tank Proponent;high;M32056;x
9006057;Minister of Armament;ハジレ・ディズダリ;44;SC;Military Entrepreneur;high;M32090;x
9006058;Minister of Armament;シェラル・ミトロヴィカ;45;SC;Infantry Proponent;high;M32091;x
9006059;Minister of Armament;マリク・ブシャティ;39;FA;Corrupt Kleptocrat;high;M32024;x
9006060;Minister of Armament;シェフケト・ヴァーラシ;41;FA;laissez-faire capitalist;high;M32047;x
9006061;Minister of Armament;オメル・ビカク;42;FA;Resource Industrialist;high;M32084;x
9006062;Minister of Armament;エクレム・リボホヴァ;43;FA;Tank Proponent;high;M32048;x
9006063;Minister of Armament;エッサド・パチャ;39;ST;Corrupt Kleptocrat;high;M32036;x
9006064;Minister of Armament;エンヴェル・ホッジャ;42;ST;Infantry Proponent;high;M32097;x
9006065;Minister of Armament;ナノ・シャナ;43;ST;Air to Sea Proponent;high;M32098;x
9006066;Minister of Armament;セジフラ・マェレショヴァ;44;ST;Submarine Proponent;high;M32050;x
