U01;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
9000001;Head of Government;アリ・マヒール・パシャ;36;SC;Silent Workhorse;high;M512002;x
9000002;Foreign Minister;アリ・マヒール・パシャ;36;SC;Great Compromiser;high;M512002;x
9000003;Minister of Armament;モハンメド・アル・フランサウィ;36;SC;Battle Fleet Proponent;high;M512004;x
9000004;Minister of Security;ムスタファ・アン＝ナース・パシャ;36;SC;Silent Lawyer;high;M512005;x
9000005;Head of Military Intelligence;モハンメド・ヒルミ・イッサ;36;SC;Dismal Enigma;high;M512006;x
9000006;Chief of Staff;ハッサン・サブリ・パシャ;36;SC;School of Defence;high;M512007;x
9000007;Chief of Army;ハッサン・サブリ・パシャ;36;SC;Static Defence Doctrine;high;M512007;x
9000008;Chief of Navy;アブダラ・ジワール・パシャ;36;SC;Indirect Approach Doctrine;high;M512009;x
9000009;Head of State;アガ・カーンI;45;SD;Benevolent Gentleman;high;M512013;x
9000010;Head of Government;ムスタファ・アン＝ナース・パシャ;36;SC;Flamboyant Tough Guy;high;M512005;x
9000011;Head of Government;ハッサン・サブリ・パシャ;40;SC;Old General;high;M512007;x
9000012;Head of Government;マフムード・アン・ヌクライシ・パシャ;40;SC;Backroom Backstabber;high;M512016;x
9000013;Head of Government;ムハンマド・マフムード・パシャ;36;ML;Happy Amateur;high;M512017;x
9000014;Head of Government;アリ・マヒール・パシャ;39;ML;Smiling Oilman;high;M512002;x
9000015;Head of Government;ハッサン・シリー・パシャ;40;ML;Political Protege;high;M512019;x
9000016;Head of Government;マフムード・アン・ヌクライシ・パシャ;45;ML;Silent Workhorse;high;M512016;x
9000017;Head of Government;イスマイル・シドゥキ・パシャ;46;ML;Naive Optimist;high;M512021;x
9000018;Head of Government;アブデルハミド・バダウィ・パシャ;36;SL;Ambitious Union Boss;high;M512022;x
9000019;Head of Government;ワセフ・ブトロス・ガリ;38;SL;Political Protege;high;M512023;x
9000020;Head of Government;ムスタファ・アン＝ナース・パシャ;42;SL;Backroom Backstabber;high;M512005;x
9000021;Head of Government;アリ・マヒール・パシャ;45;SL;Naive Optimist;high;M512025;x
9000022;Head of Government;アブダラ・ジワール・パシャ;36;SD;Old Admiral;high;M512009;x
9000023;Head of Government;アリ・チャンシ・パシャ;40;SD;Corporate Suit;high;M512027;x
9000024;Foreign Minister;ワセフ・ブトロス・ガリ;36;SC;The Cloak N Dagger Schemer;high;M512023;x
9000025;Foreign Minister;アブデルファタ・ヤヒヤ・パシャ;37;SC;Apologetic Clerk;high;M512029;x
9000026;Foreign Minister;ハッサン・サブリ・パシャ;39;SC;General Staffer;high;M512007;x
9000027;Foreign Minister;サリブ・サミ・ベイ;40;SC;Iron Fisted Brute;high;M512031;x
9000028;Foreign Minister;ムハンマド・マフムード・パシャ;45;SC;Biased Intellectual;high;M512017;x
9000029;Foreign Minister;イブラヒム・アブデル・ハディ;46;SC;The Cloak N Dagger Schemer;high;M512033;x
9000030;Foreign Minister;アフメド・カシャバ・パシャ;47;SC;Apologetic Clerk;high;M512034;x
9000031;Foreign Minister;アブドゥラ・ナハウィ;36;ML;Biased Intellectual;high;M512035;x
9000032;Foreign Minister;ハッサン・シリー・パシャ;40;ML;Great Compromiser;high;M512019;x
9000033;Foreign Minister;マフムード・アン・ヌクライシ・パシャ;44;ML;Apologetic Clerk;high;M512016;x
9000034;Foreign Minister;アブデルハミド・バダウィ・パシャ;46;ML;The Cloak N Dagger Schemer;high;M512038;x
9000035;Foreign Minister;アフメド・ロフティ・アル・サイード;46;ML;Biased Intellectual;high;M512039;x
9000036;Foreign Minister;エリエ・ネシム・モセリ;36;SL;Great Compromiser;high;M512040;x
9000037;Foreign Minister;アリ・マヒール・パシャ;42;SL;The Cloak N Dagger Schemer;high;M512002;x
9000038;Foreign Minister;アリ・チャンシ・パシャ;36;SD;The Cloak N Dagger Schemer;high;M512042;x
9000039;Foreign Minister;ワセフ・ブトロス・ガリ;40;SD;Great Compromiser;high;M512023;x
9000040;Foreign Minister;ムスタファ・アン＝ナース・パシャ;42;SD;General Staffer;high;M512005;x
9000041;Minister of Armament;ファルク1世;36;SC;Corrupt Kleptocrat;high;M512045;x
9000042;Minister of Armament;アリ・タハール;41;SC;laissez-faire capitalist;high;M512046;x
9000043;Minister of Armament;ムハンマド・マフムード・パシャ;43;SC;Resource Industrialist;high;M512017;x
9000044;Minister of Armament;アブデルハミド・ソリマン;45;SC;Air Superiority Proponent;high;M512048;x
9000045;Minister of Armament;ワヒド・ガイラム・パシャ;36;ML;laissez-faire capitalist;high;M512049;x
9000046;Minister of Armament;ターラト・ハルブ;38;ML;Administrative Genius;high;M512050;x
9000047;Minister of Armament;タラル・アル＝キュロス;41;ML;Air to Ground Proponent;high;M512051;x
9000048;Minister of Armament;サリブ・サミ・ベイ;45;ML;Tank Proponent;high;M512031;x
9000049;Minister of Armament;モハンメド・サラディン;36;SL;Air to Sea Proponent;high;M512053;x
9000050;Minister of Armament;アリ・ハソウナ・パシャ;41;SL;Infantry Proponent;high;M512054;x
9000051;Minister of Armament;アリ・アミール・パシャ;45;SL;Administrative Genius;high;M512055;x
9000052;Minister of Armament;モハンメド・ファーミ・アル＝カイス;36;SD;Strategic Air Proponent;high;M512056;x
9000053;Minister of Armament;アブデル＝アジム;42;SD;Infantry Proponent;high;M512057;x
9000054;Minister of Armament;アガ・カーンI;44;SD;Resource Industrialist;high;M512058;x
9000055;Minister of Security;アミル・アル＝フセイニ;38;SC;Efficient Sociopath;high;M512059;x
9000056;Minister of Security;ムハンマド・マフムード・パシャ;40;SC;Compassionate Gentleman;high;M512017;x
9000057;Minister of Security;H・R・H・ナワル・ザキ;43;SC;Man of the People;high;M512061;x
9000058;Minister of Security;カメル・ナビ・パシャ;36;ML;Man of the People;high;M512062;x
9000059;Minister of Security;サー・ラルフ・スティーヴンソン;42;ML;Prince of Terror;high;M512063;x
9000060;Minister of Security;ロマルコス・ハナ・パシャ;44;ML;Crime Fighter;high;M512064;x
9000061;Minister of Security;サリブ・サミール・パシャ;36;SL;Back Stabber;high;M512065;x
9000062;Minister of Security;モハンメド・ナジブ・パシャ;42;SL;Compassionate Gentleman;high;M512066;x
