U03;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
99700;兵器開発公社;T11604;7;1930;2110;artillery;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99701;エルビット・システムズ社;T11605;6;1930;2110;electronics;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99702;ヘブライ大学;T11600;5;1930;2110;chemistry;management;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99703;イスラエル航空宇宙軍本部;T11609;8;1930;2110;aircraft_testing;bomber_tactics;combined_arms_focus;decentralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99704;国防軍指揮幕僚大学;T11607;8;1930;2110;centralized_execution;combined_arms_focus;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99705;イスラエル海軍作戦研究所;T11608;7;1930;2110;centralized_execution;naval_training;seamanship;small_taskforce_tactics;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99706;イスラエル・エアクラフト社;T11601;7;1930;2110;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99707;イスラエル軍事工業会社;T11602;7;1930;2110;artillery;general_equipment;mechanics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99708;タディラン・エレクトロニック工業会社;T11603;6;1930;2110;electronics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99709;カラビュック鉄鋼所;T_TUR_Karabuk_Demir_Celik_Fabrikalari;6;1930;2110;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99710;トルコ国鉄;T_TUR_Turkiye_Cumhuriyeti_Devlet_Demiryollari;5;1930;2110;management;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99711;ウゼル社;T_TUR_Uzel;5;1930;2110;general_equipment;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99712;カリフォルニア・アラビアン・スタンダード石油;T117;5;1930;2110;chemistry;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99713;ベイルート工廠;T9800;6;1930;2110;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99714;トリポリ造船所;T11003;5;1930;2110;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99715;サン・ジョセフ大学;T11903;6;1930;2110;management;chemistry;industrial_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99716;CBSA社;T800;8;1930;2110;aeronautics;technical_efficiency;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99717;DAR社;T801;5;1930;2110;aeronautics;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99718;カザンラク国営軍需工場;T810;7;1930;2110;mechanics;artillery;general_equipment;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99719;イスタンブール・ヴァルデ造船所;T3501;7;1930;2110;naval_engineering;electronics;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99720;MKEK社;T3503;7;1930;2110;chemistry;mathematics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99721;トルコ石油会社;T3505;7;1930;2110;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99722;空軍戦争大学;T3506;6;1930;2110;fighter_tactics;bomber_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99723;イスタンブール軍事工廠;T1103;7;1930;2110;artillery;mechanics;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99724;イスタンブール大学;T3513;6;1930;2110;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
