U06;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
99400;国連食糧農業機関;NODATA;8;1930;2110;management;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99401;国連工業開発機関;NODATA;8;1930;2110;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99402;国連世界気象機関;NODATA;8;1930;2110;mathematics;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99403;国連統合陸軍;NODATA;8;1930;2110;combined_arms_focus;large_unit_tactics;decentralized_execution;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99404;国連統合海軍;NODATA;7;1930;2110;carrier_tactics;centralized_execution;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99405;国連航空宇宙統合軍;NODATA;9;1930;2110;centralized_execution;aeronautics;rocketry;fighter_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99406;国連科学開発機関;NODATA;9;1930;2110;industrial_engineering;electronics;chemistry;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99407;国連兵器開発機関;NODATA;9;1930;2110;artillery;general_equipment;electronics;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99408;国連原子力機関;NODATA;9;1930;2110;nuclear_physics;nuclear_engineering;mathematics;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99409;国連教育文化機関;NODATA;7;1930;2110;training;mathematics;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99410;国連環境保全機関;NODATA;7;1930;2110;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99411;国連世界保健機関;NODATA;8;1930;2110;chemistry;management;mathematics;electronics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99412;国連復興開発機関;NODATA;7;1930;2110;electronics;management;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99413;ユーコン基地戦術機開発部隊;NODATA;9;1390;2110;chemistry;artillery;mechanics;rocketry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
