U02;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
99600;ダッスオー;EU06;7;1930;2110;chemistry;artillery;mechanics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99601;サーグ;EU05;9;1930;2110;aeronautics;electronics;mechanics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99602;パラヴィア・インダストリアル;EU09;9;1930;2110;chemistry;electronics;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99603;ユーロファイタス;EU04;9;1930;2110;artillery;mechanics;electronics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99604;アエロジェット;EU02;7;1930;2110;chemistry;electronics;general_equipment;mathematics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99605;OTT;EU01;8;1930;2110;naval_artillery;artillery;chemistry;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99606;欧州統合採鉱連合;EU11;8;1930;2110;industrial_engineering;management;chemistry;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99607;ラインメイタル社;EU03;8;1930;2110;artillery;chemistry;mechanics;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99608;I・G・ファーベン社;T3;9;1930;2110;chemistry;general_equipment;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99609;マン社;T8;7;1930;2110;artillery;chemistry;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99610;モーゼル製造会社;T_DFR_Mauser;7;1930;2110;artillery;general_equipment;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99611;メッサーシュミット社;T_DFR_Messerschmitt;8;1930;2110;aeronautics;artillery;electronics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99612;ブロム・ウント・フォス社;T_DFR_Blohm&Voss;7;1930;2110;electronics;general_equipment;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99613;ボーフム社;T_DFR_BochumerVerein;7;1930;2110;artillery;industrial_engineering;management;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99614;ダイムラー・ベンツ社;T_DFR_DaimlerBenz;7;1930;2110;artillery;electronics;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99615;ジーメンス社;T14;7;1930;2110;electronics;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99616;テレフンケン社;T_GER_Telefunken_GmbH;7;1930;2110;electronics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99617;エンフィールド工廠;T305;7;1930;2110;artillery;general_equipment;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99618;イングリッシュ・エレクトリック社;T306;8;1930;2110;aeronautics;electronics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99619;ヴォクソール社;T315;7;1930;2110;artillery;chemistry;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99620;ヴィッカース・アームストロング社;T316;8;1930;2110;aeronautics;artillery;mechanics;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99621;デ・ハヴィランド社;T304;7;1930;2110;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99622;レイランド社;T311;8;1930;2110;artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99623;ヤーロウ・シップビルダーズ造船会社;T_ENG_Yarrow;7;1930;2110;electronics;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99624;ルノー社;T1410;7;1930;2110;general_equipment;industrial_engineering;management;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99625;SNPA社;T1414;6;1930;2110;chemistry;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99626;ソミュア社;T1415;6;1930;2110;artillery;electronics;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99627;シュナイダー社;T1413;7;1930;2110;artillery;chemistry;electronics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99628;ローヌ・プーラン社;T1411;6;1930;2110;chemistry;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99629;ボフォースAB社;T3201;9;1930;2110;artillery;management;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99630;LMエリクソン社;T3207;8;1930;2110;electronics;management;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99631;スカニア・バビス;T3209;7;1930;2110;industrial_engineering;chemistry;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99632;アングロ・イラニアン石油会社;T301;9;1930;2110;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99633;ソルヴェー社;T706;7;1930;2110;chemistry;industrial_engineering;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99634;ゼネラル・エレクトリック・カンパニー;T_ENG_GeneralElectricCompany;7;1930;2110;electronics;general_equipment;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99635;フィリップス;T2314;7;1930;2110;electronics;mathematics;nuclear_physics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99636;ドイツ陸軍;T20;9;1930;2110;centralized_execution;combined_arms_focus;large_unit_tactics;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99637;独仏連合旅団;T22;9;1930;2110;combined_arms_focus;decentralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99638;英国海軍;T318;9;1930;2110;carrier_tactics;centralized_execution;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99639;英国航空宇宙軍;T319;8;1930;2110;aircraft_testing;bomber_tactics;centralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99640;ドイツ航空宇宙軍;T21;8;1930;2110;aircraft_testing;bomber_tactics;combined_arms_focus;decentralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
