U09;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
99100;ホセ・クエルボ;T7900;6;1930;2110;chemistry;management;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99101;チキータ;T5209;5;1930;2110;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99102;フェレテリア・フェロミネラ社;T8002;4;1930;2110;industrial_engineering;general_equipment;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99103;リド工業会社;T8003;6;1930;2110;general_equipment;artillery;mechanics;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99104;ペニテンチャリア中央会社;T7801;4;1930;2110;chemistry;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99105;航空宇宙軍学校;T7803;6;1930;2110;piloting;aircraft_testing;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99106;コスタリカ石油;T5900;4;1930;2110;industrial_engineering;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99107;IDC;T5901;6;1930;2110;general_equipment;training;mechanics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99108;NSSL社;T5801;6;1930;2110;electronics;training;mechanics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99109;アナスタシオ・ソモサ社;T5802;4;1930;2110;infantry_focus;training;large_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99110;パナマ運河造船所;T5701;7;1930;2110;naval_engineering;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99111;TNCA社;T2200;5;1975;2110;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99112;連邦鉄道;T6300;5;1930;2110;industrial_engineering;general_equipment;management;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99113;アレチャラバ工業会社;T6301;6;1930;2110;industrial_engineering;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99114;トランスアトランティカ会社;T6302;4;1930;2110;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99115;運輸省;T6306;4;1930;2110;industrial_engineering;general_equipment;management;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99116;陸軍省;T6307;6;1930;2110;centralized_execution;combined_arms_focus;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99117;CORDE;T6700;4;1930;2110;industrial_engineering;general_equipment;management;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99118;サント・ドミンゴ大学;T6702;5;1930;2110;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99119;サント・ドミンゴ兵器廠;T9800;5;1930;2110;artillery;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99120;バラオナ造船所;T3802;5;1930;2110;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99121;国防省;T5903;6;1930;2110;centralized_execution;combined_arms_focus;individual_courage;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99122;沿岸警備隊;T5905;5;1930;2110;bomber_tactics;centralized_execution;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
