U04;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
99800;海軍元帥;T9101;8;1930;2110;naval_engineering;technical_efficiency;naval_artillery;electronics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99801;バンコク造船所;T6;7;1930;2110;bomber_tactics;centralized_execution;piloting;fighter_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99802;バンコク工廠;T13;6;1930;2110;training;decentralized_execution;combined_arms_focus;small_unit_tactics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99803;王立航空局;T6401;6;1930;2110;chemistry;management;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99804;ハノイ・エアロスペース社;T11403;8;1930;2110;mechanics;industrial_engineering;general_equipment;management;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99805;ハノイ工廠;T9800;6;1930;2110;aeronautics;technical_efficiency;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99806;ハノイ工科大学;T14302;6;1930;2110;aeronautics;electronics;technical_efficiency;rocketry;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99807;ベトナム海事大学;T14403;7;1930;2110;mechanics;general_equipment;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99808;ベトナム軍事大学;T10401;8;1930;2110;bomber_tactics;combined_arms_focus;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99809;ラングーン大学;T10000;5;1930;2110;combined_arms_focus;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99810;ビルマ鉄道連合;T10001;7;1930;2110;nuclear_physics;mathematics;management;nuclear_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99811;防衛研究開発機構;T11401;9;1930;2110;chemistry;mechanics;artillery;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99812;ガーデン・リーチ研究所;T11402;8;1930;2110;naval_engineering;electronics;mechanics;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99813;ヒンドゥスタン航空機会社;T11403;5;1930;2110;aeronautics;electronics;technical_efficiency;artillery;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99814;インド科学大学;T11404;7;1930;2110;mathematics;chemistry;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99815;インド国有鉄道;T11406;7;1930;2110;mechanics;industrial_engineering;management;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99816;J.R.D.タータ社;T11407;7;1930;2110;industrial_engineering;technical_efficiency;aeronautics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99817;マザゴン造船会社;T11408;7;1930;2110;naval_engineering;naval_artillery;electronics;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99818;軍事技術研究所;T11409;7;1930;2110;management;general_equipment;mechanics;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99819;インド造兵廠;T11410;7;1930;2110;mechanics;artillery;general_equipment;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99820;デリー大学;T11412;6;1930;2110;management;chemistry;mechanics;mathematics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99821;三星グループ;T_KOR_Samsung;7;1930;2110;electronics;chemistry;artillery;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99822;インドネシア海兵隊;T_INO_MarineCorps;6;1930;2110;general_equipment;mechanics;naval_engineering;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99823;インドネシア海軍訓練基地Grounds;T10402;6;1930;2110;centralized_execution;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99824;インド防衛研究開発機構;T50012;7;1930;2110;mechanics;electronics;technical_efficiency;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99825;インド防衛研究開発機構;T50012;7;1930;2110;rocketry;mechanics;mathematics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99826;インド防衛研究開発機構;T50012;7;1930;2110;mechanics;electronics;technical_efficiency;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99827;インド防衛研究開発機構;T50012;7;1930;2110;mechanics;electronics;technical_efficiency;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
