U08;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
99200;ブラジル海軍;T4411;6;1930;2110;decentralized_execution;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99201;国営軍事工場;T406;6;1930;2110;aeronautics;artillery;electronics;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99202;CCNA;T4401;5;1930;2110;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99203;CCNC;T4402;5;1930;2110;aeronautics;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99204;カッシオ・ムニス社;T4400;5;1930;2110;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99205;原子力技術開発センター;T_BRA_CentrodeDesenvolvimentodaTecnologiaNuclear;7;1930;2110;management;nuclear_engineering;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99206;国営鉄鋼公社;T4403;6;1930;2110;general_equipment;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99207;国営鉱山局;T4404;5;1930;2110;industrial_engineering;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99208;工科学校;T_BRA_EscolaPolitecnica;5;1930;2110;electronics;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99209;IPT;T4406;6;1930;2110;aeronautics;electronics;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99210;イラ・ダス・コブラス海軍工廠;T4405;5;1930;2110;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99211;NMC;T4414;5;1945;2110;electronics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99212;エンリケ・ラーゲ機構;T4407;7;1930;2110;chemistry;industrial_engineering;management;naval_artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99213;リオデジャネイロ連邦大学;T_BRA_UniversidadeFederaldoRiodeJaneiro;5;1930;2110;chemistry;electronics;mathematics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99214;ペトロブラス社;T99907;7;1953;2110;chemistry;industrial_engineering;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99215;リオ・サンティアーゴ造船所（AFNE）;T400;6;1930;2110;electronics;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99216;アリアンサ造船株式会社;T401;5;1930;2110;electronics;naval_engineering;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99217;アルゼンチン商工会議所;T403;6;1930;2110;aeronautics;mechanics;electronics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99218;アルゼンチン原子力委員会;T418;5;1930;2110;chemistry;nuclear_engineering;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99219;海軍学校;T_ARG_NavalMilitar;6;1930;2110;large_taskforce_tactics;seamanship;naval_training;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99220;陸軍大学;T_ARG_EscueladeGuerra;6;1930;2110;centralized_execution;small_unit_tactics;infantry_focus;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99221;航空宇宙軍学校;T412;6;1930;2110;aircraft_testing;fighter_tactics;piloting;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99222;造兵廠;T405;7;1930;2110;artillery;chemistry;general_equipment;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99223;ビヤマリア造兵廠;T417;7;1930;2110;artillery;chemistry;mechanics;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99224;ソミサ製鉄所;T416;7;1930;2110;artillery;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99225;ブエノスアイレス大学;T_ARG_UniversitaddeBuenosAires;6;1930;2110;chemistry;electronics;management;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99226;レプソルYPF社;T407;6;1930;2110;chemistry;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
99227;モリノス・リオ・デ・ラ・プラタ社;molinos;6;1930;2110;industrial_engineering;mechanics;chemistry;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99228;エンゲサ;team_noimage;8;1930;2970;mechanics;electronics;technical_efficiency;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
