#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;x
#text.csv;;;;;;;;;;;x
DOMNAME_PRO_R;徴兵軍;;;;;;;;;;x
DOMNAME_PRO_L;常備軍;;;;;;;;;;x
POLICYDESC_4;このバーは政府が軍事防衛をどのように考えているかを表示しています。常備軍は職業軍人からなる志願制の軍隊を指します。志願のために兵数は少なくなりますが、士気や組織率の高い少数精鋭となります。経費削減を望む人達と自由市場主義者は常備軍を望みます。徴兵軍はその名の通り、徴兵制度により組織された軍隊です。本人の意思に関わらず成人男性全てが兵士となるので、士気や組織率はあまり高くありません。しかし、多くの兵士を確保することができます。伝統主義や保守主義は徴兵制を望みます。;This slider describes the level of mobilization enacted by this country, ranging from no military at all to a last ditch defense of every man and woman who can hold a gun.;;;;;;;;;x
MENU;メニュー;;;;;;;;;;x
PRODIW_SUDEP;貯蔵物資:;Resource Depots:;;;;;;;;;x
RODIW_TA1;取引国家:;Trades:;;;;;;;;;x
RODIW_TA2;輸出：;Export:;;;;;;;;;x
RODIW_TA3;輸入：;Import:;;;;;;;;;x
PRODIW_DATE;完了まで %d 日必要です。;Takes %d days to develop.;;;;;;;;;x
PRODIW_ICCOST;必要工業力: %.1f;Requires %.1f IC.;;;;;;;;;x
PRODIW_MPCOST;必要人的資源: %.1f;Requires %.1f manpower.;;;;;;;;;x
PRIMARYYEAR;史実年度： %d年;Historical Year: %d;;;;;;;;;x
####################################;;;;;;;;;;;x
## 戦闘シナリオ                     ;;;;;;;;;;;x
####################################;;;;;;;;;;;x
## 日本本土決戦;;;;;;;;;;;x
JMDB_1_DESC;中国地方日本海沿岸部に位置する山口県に小規模ながらBETA群が上陸してきた。おそらく、九州に上陸したBETA群と同じく重慶ハイヴより侵攻してきたものだろう。現地には、すでに軍が展開しておりBETAの強襲に対して応戦している。小規模なBETA群ならば、鎧袖一触だ。すぐにでも殲滅してくれる。;;;;;;;;;;x
JMDB_2_DESC;中国地方日本海沿岸部に位置する鳥取県に小規模ながらBETA群が上陸してきた。おそらく、九州に上陸したBETA群と同じく重慶ハイヴより侵攻してきたものだろう。現地には、すでに軍が展開しておりBETAの強襲に対して応戦している。小規模なBETA群ならば、鎧袖一触だ。すぐにでも殲滅してくれる。;;;;;;;;;;x
JMDB_3_DESC;中国地方日本海沿岸部に位置する島根県に小規模ながらBETA群が上陸してきた。おそらく、九州に上陸したBETA群と同じく重慶ハイヴより侵攻してきたものだろう。現地には、すでに軍が展開しておりBETAの強襲に対して応戦している。小規模なBETA群ならば、鎧袖一触だ。すぐにでも殲滅してくれる。;;;;;;;;;;x
JMDB_4_DESC;中国地方日本海沿岸部に大規模なBETA群が強襲してきた。今までに強襲してきたBETA群と同様に重慶ハイヴより侵攻してきたものだろう。現地には既に部隊が展開しており交戦しているが、これまでの戦いで傷ついた我々で果たして奴らを撃退することができるだろうか。;;;;;;;;;;x
JMDB_5_DESC;佐渡島に接近している大規模なBETA群が警戒に出ている海軍により発見された。BETA群が佐渡島に辿り着くまでには、まだ時間的猶予はあり、この時間を利用して防衛体制を整えよう。;;;;;;;;;;x
JMDB_6_DESC;遂にBETA群が佐渡島に到達した。この地が奴らの手に落ちれば、ここを橋頭保とし本州に侵攻をされてしまう。守りづらい地形ではあるが、この地を奴らに渡すわけにいかぬ。。;;;;;;;;;;x
JMDB_7_DESC;BETAの襲撃により、懸命の防戦虚しくとうとう九州地方を奪われてしまい、とり残された多くの国民が犠牲となった。我々は、犠牲となった人々をそしてこの悲劇を引き起こしたＢＥＴＡへの恨みを決して忘れはしないだろう;;;;;;;;;;x
JMDB_8_DESC;BETAの襲撃により、懸命の防戦虚しくとうとう四国地方を奪われてしまい、とり残された多くの国民が犠牲となった。我々は、犠牲となった人々をそしてこの悲劇を引き起こしたＢＥＴＡへの恨みを決して忘れはしないだろう;;;;;;;;;;x
JMDB_9_DESC;BETAの襲撃により、懸命の防戦虚しくとうとう中国地方を奪われてしまい、とり残された多くの国民が犠牲となった。我々は、犠牲となった人々をそしてこの悲劇を引き起こしたＢＥＴＡへの恨みを決して忘れはしないだろう;;;;;;;;;;x
JMDB_10_DESC;BETAの襲撃により、懸命の防戦虚しくとうとう近畿地方を奪われてしまい、とり残された多くの国民が犠牲となった。我々は、犠牲となった人々をそしてこの悲劇を引き起こしたＢＥＴＡへの恨みを決して忘れはしないだろう;;;;;;;;;;x
JMDB_11_DESC;BETAの襲撃により、懸命の防戦虚しくとうとう中部地方を奪われてしまい、とり残された多くの国民が犠牲となった。我々は、犠牲となった人々をそしてこの悲劇を引き起こしたＢＥＴＡへの恨みを決して忘れはしないだろう;;;;;;;;;;x
