#  STRING NAME (do not change!);French;;;;;;;;;;X;;;;;;;;
################################################################################################################################################;;;;;;;;;;;x;;;;;;;;
## Muv-Luv_Alternative_MOD用イベント												              ##;;;;;;;;;;;x;;;;;;;;
################################################################################################################################################;;;;;;;;;;;x;;;;;;;;
#;;;;;;;;;;;x;;;;;;;;
####################################;;;;;;;;;;;x;;;;;;;;
## ランダムイベント                 ;;;;;;;;;;;x;;;;;;;;
####################################;;;;;;;;;;;x;;;;;;;;
EVT_1000R_NAME;何者かが研究を妨害;;;;;;;;;;x;;;;;;;;
EVT_1000R_DESC;今朝、我が国の最高機密に属する研究所の1つが何者かの侵入を受け、荒らされていることに警備員が気づいた。現場検証を行った警察は、今回の事件が破壊工作である証拠を見つけた。現在行われている研究プロジェクトの1つが、しばらくの間進まなくなるだろう。;;;;;;;;;;x;;;;;;;;
ACTIONNAME1000A;OK;;;;;;;;;;x;;;;;;;;
EVT_1010R_NAME;何者かが生産を妨害;;;;;;;;;;x;;;;;;;;
EVT_1010R_DESC;今朝、我が国の戦略上きわめて重要な軍需工場の1つが何者かの侵入を受け、荒らされていることに警備員が気づいた。現場検証を行った警察は、今回の事件が破壊工作である証拠を見つけた。現在生産しているユニットのうち1つの完成が、しばらく遅れるだろう。;;;;;;;;;;x;;;;;;;;
ACTIONNAME1010A;OK;;;;;;;;;;x;;;;;;;;
EVT_1020R_NAME;何者かが要塞を破壊;;;;;;;;;;x;;;;;;;;
EVT_1020R_DESC;深夜近く、警備兵が交代する時間に大きな爆発が起こり、轟音は要塞の背後にある基地まで響いた。すぐに警備隊による調査が開始され、何者かが要塞の壁の一番弱いところに爆発物を仕掛けて爆破させたことがわかった。周囲を捜索し、犯人の足取りを追ったが、捕らえることはできなかった。被害の程度からして、要塞の防衛能力が完全に復旧するまでにはある程度時間がかかるだろう。;;;;;;;;;;x;;;;;;;;
ACTIONNAME1020A;OK;;;;;;;;;;x;;;;;;;;
EVT_1030R_NAME;何者かが沿岸要塞を破壊;;;;;;;;;;x;;;;;;;;
EVT_1030R_DESC;深夜近く、警備兵が交代する時間に大きな爆発が起こり、轟音は要塞の背後にある基地まで響いた。すぐに警備隊による調査が開始され、何者かが要塞の壁の一番弱いところに爆発物を仕掛けて爆破させたことがわかった。周囲を捜索し、犯人の足取りを追ったが、捕らえることはできなかった。被害の程度からして、要塞の防衛能力が完全に復旧するまでにはある程度時間がかかるだろう。;;;;;;;;;;x;;;;;;;;
ACTIONNAME1030A;OK;;;;;;;;;;x;;;;;;;;
EVT_1040R_NAME;敵国から奪った技術;;;;;;;;;;x;;;;;;;;
EVT_1040R_DESC;今日正午、コードネーム“ライラックローズ”という正体不明の女性特殊工作員の活動に関する報告が入ってきた。その報告によると、“ライラック・ローズ”はある政府の部局に侵入して重要な技術的仕様書を盗み出し、それを近くの中立国の大使館に渡した。だが公安の追跡を逃れようとしているところで、行方がわからなくなった。おそらく拘束されて、殺されたのだろう。;;;;;;;;;;x;;;;;;;;
ACTIONNAME1040A;OK;;;;;;;;;;x;;;;;;;;
EVT_1050R_NAME;敵コマンドー部隊による司令官の暗殺;;;;;;;;;;x;;;;;;;;
EVT_1050R_DESC;指揮車に乗った司令官が偵察のため近くの突撃地域を訪れたのは今日の明け方のことです。それから2時間後、司令官の一行は待ち伏せていた敵コマンドー部隊の襲撃を受けました。司令官を含む視察団全員が死亡しました。今日の軍人事局の話では、殺された司令官にはこれまでの戦闘での勇気を称え、国で最も名誉ある勲章が死後叙勲されるとの噂が流れています。機密情報部による公式の発表は今のところ出ていませんが、匿名の情報筋によると、敵は我が軍の暗号装置による通信を解読している可能性があるとのことです。;;;;;;;;;;x;;;;;;;;
ACTIONNAME1050A;OK;;;;;;;;;;x;;;;;;;;
EVT_1070R_NAME;秘密警察の報告;;;;;;;;;;x;;;;;;;;
