#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;x
#;;;;;;;;;;;X
# Countries!;;;;;;;;;;;X
#;;;;;;;;;;;X
ALS;人類;;;;;;;;;;X
AXI;nodata;;;;;;;;;;X
ALI;BETA;;;;;;;;;;X
#####;;;;;;;;;;X;
################################# 使用国タグ #################################;;;;;;;;;;X;
#####;;;;;;;;;;X;
CUB;キューバ;;;;;;;;;;X
PAK;パキスタン;;;;;;;;;;X
VIE;ベトナム（国粋派）;;;;;;;;;;X
LAO;ラオス;;;;;;;;;;X
CMB;カンボジア;;;;;;;;;;X
MLY;マレーシア;;;;;;;;;;X
GUA;グアテマラ;;;;;;;;;;X
COS;コスタリカ;;;;;;;;;;X
NIC;ニカラグア;;;;;;;;;;X
SAL;エルサルバドル;;;;;;;;;;x
HON;ホンジュラス;;;;;;;;;;x
DOM;ドミニカ共和国;;;;;;;;;;X
SIA;タイ;;;;;;;;;;X
MON;モンゴル;;;;;;;;;;X
PHI;フィリピン;;;;;;;;;;X
CHL;チリ;;;;;;;;;;X
NEP;ネパール;;;;;;;;;;X
OMN;オマーン;;;;;;;;;;X
PAN;パナマ;;;;;;;;;;X
BUR;ビルマ;;;;;;;;;;X
BHU;ブータン;;;;;;;;;;x
BRU;ブルネイ;;;;;;;;;;x
KOR;韓国;;;;;;;;;;X
SOV;ソ連;;;;;;;;;;X
JAP;日本帝国;;;;;;;;;;X
INO;インドネシア;;;;;;;;;;X
USA;アメリカ合衆国;;;;;;;;;;X
BRA;ブラジル;;;;;;;;;;X
ARG;アルゼンチン;;;;;;;;;;X
MEX;メキシコ;;;;;;;;;;X
COL;コロンビア;;;;;;;;;;X
VEN;ベネズエラ;;;;;;;;;;X
PRU;ペルー;;;;;;;;;;X
ECU;エクアドル;;;;;;;;;;X
URU;ウルグアイ;;;;;;;;;;X
PAR;パラグアイ;;;;;;;;;;X
BOL;ボリビア;;;;;;;;;;X
NZL;ニュージーランド;;;;;;;;;;X
AST;オーストラリア;;;;;;;;;;X
CAN;カナダ;;;;;;;;;;X
SAF;南アフリカ;;;;;;;;;;X
IND;インド;;;;;;;;;;X
U00;ユーザー定義用;;;;;;;;;;X
U01;アフリカ連合;;;;;;;;;;X
U02;欧州連合;;;;;;;;;;X
U03;中東連合;;;;;;;;;;X
U04;大東亜連合;;;;;;;;;;X
U05;統一中華戦線;;;;;;;;;;X
U06;国際連合;;;;;;;;;;X
U07;東欧同盟;;;;;;;;;;X
U08;南米連合;;;;;;;;;;X
U09;中米連邦;;;;;;;;;;X
U10;日本皇国;;;;;;;;;;X
U11;地球連邦;;;;;;;;;;X
U12;BETA-喀什-;;;;;;;;;;X
U13;BETA-マシュハド-;;;;;;;;;;X
U14;BETA-ウラリスク-;;;;;;;;;;X
U15;BETA-ヴェリスク-;;;;;;;;;;X
U16;BETA-ミンスク-;;;;;;;;;;X
U17;BETA-エキバストゥズ-;;;;;;;;;;X
U18;BETA-スルグート-;;;;;;;;;;X
U19;BETA-ロヴァニエミ-;;;;;;;;;;X
U20;BETA-アンバール-;;;;;;;;;;X
U21;BETA-ノギンスク-;;;;;;;;;;X
U22;BETA-ブタペスト-;;;;;;;;;;X
U23;BETA-リヨン-;;;;;;;;;;X
U24;BETA-ボパール-;;;;;;;;;;X
U25;BETA-敦煌-;;;;;;;;;;X
U26;BETA-クラスノヤルスク-;;;;;;;;;;X
U27;BETA-重慶-;;;;;;;;;;X
U28;BETA-マンダレー-;;;;;;;;;;X
U29;BETA-ウランバートル-;;;;;;;;;;X
U30;BETA-ブラゴエスチェンスク-;;;;;;;;;;X
U31;BETA-鉄原-;;;;;;;;;;X
U32;BETA-佐渡島-;;;;;;;;;;X
U33;BETA-横浜-;;;;;;;;;;X
