U91;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1000500;陸軍発明理事会;T500;5;1930;2100;general_equipment;mechanics;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1000501;オーストラリア原子力委員会;T_AST_AustralianAtomicEnergyCommission;5;1952;2100;nuclear_engineering;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1000502;チュロナ戦車製造工場;T501;4;1930;2100;artillery;chemistry;electronics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1000503;カカトゥー島造船所;T513;4;1930;2100;electronics;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1000504;連邦科学産業研究機構;T514;5;1930;2100;chemistry;electronics;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1000505;デ・ハヴィランド社;T502;5;1930;2100;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1000506;ダッドリー・ラヴァラック;T_AST_Dudley_Lavarack;6;1930;2100;combined_arms_focus;decentralized_execution;individual_courage;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1000507;フォード・モータース社;T503;5;1930;2100;industrial_engineering;management;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1000508;ガイ・ロイル;T_AST_Guy_Royle;5;1930;2100;centralized_execution;naval_training;seamanship;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1000509;ホレス・R・キャンベル;T13607;4;1945;2100;combined_arms_focus;individual_courage;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1000510;ジョン・コリンズ;T508;6;1930;2100;carrier_tactics;centralized_execution;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1000511;マリビアノング軍需工場;T_AST_MaribyrnongMunitionFactories;5;1930;2100;artillery;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1000512;ニュー・サウス・ウェールズ州鉄道;T504;6;1930;2100;general_equipment;industrial_engineering;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1000513;ラグナー・コルヴィン;T_AST_Ragnar_Colvin;4;1930;2100;centralized_execution;naval_training;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1000514;リチャード・ウィリアムズ;T510;6;1930;2100;aircraft_testing;decentralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1000515;サー・コリン・トーマス・ハナ;T517;4;1959;2100;aircraft_testing;centralized_execution;combined_arms_focus;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
