U08;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
9007000;Head of State;アグスティン・P・フスト;36;PA;Resigned Generalissimo;high;M35001;x
9007001;Head of Government;アグスティン・P・フスト;36;PA;Old General;high;M35001;x
9007002;Foreign Minister;カルロス・サベドラ・ラマス;36;PA;The Cloak N Dagger Schemer;high;M35003;x
9007003;Minister of Armament;アルベルト・ウエヨ;36;PA;laissez-faire capitalist;high;M35004;x
9007004;Minister of Security;ラモン・カスティリョ;36;PA;Prince of Terror;high;M35005;x
9007005;Head of Military Intelligence;ホルヘ・デ・ラ・トーレ;36;PA;Industrial Specialist;high;M35006;x
9007006;Chief of Staff;マヌエル・A・ロドリゲス;36;PA;School of Defence;high;M35007;x
9007007;Chief of Army;マヌエル・A・ロドリゲス;36;PA;Decisive Battle Doctrine;high;M35007;x
9007008;Chief of Navy;ペドロ・S・カサル;36;PA;Base Control Doctrine;high;M35009;x
9007009;Chief of Air Force;アントニオ・パロディ;36;PA;Air Superiority Doctrine;high;M35010;x
9007010;Head of State;アグスティン・P・フスト;36;SC;Resigned Generalissimo;high;M35001;x
9007011;Head of State;ルイス・ポデスタ・コスタ;38;SC;Benevolent Gentleman;high;M35014;x
9007012;Head of State;ラモン・カスティリョ;42;PA;Stern Imperialist;high;M35005;x
9007013;Head of State;マヌエル・マリア・デ・イリオンド;46;SC;Insignificant Layman;high;M35034;x
9007014;Head of State;マルセロ・T・アルベアル;36;SL;Die-hard Reformer;high;M35035;x
9007015;Head of State;ロブスティアーノ・パントロン・コスタス;42;SL;Popular Figurehead;high;M35036;x
9007016;Head of State;バルダサッレ・バルディ・ヒメネス;36;SD;Weary Stiffneck;high;M35037;x
9007017;Head of State;グスタボ・メンドーサ・クルティン;40;SD;Popular Figurehead;high;M35038;x
9007018;Head of State;ロベルト・M・オルティス;36;PA;Pig-headed Isolationist;high;M35039;x
9007019;Head of State;フリオ・A・ロカ;40;SC;Autocratic Charmer;high;M35040;x
9007020;Head of State;エデルミロ・ファレル;44;SC;Resigned Generalissimo;high;M35041;x
9007021;Head of State;セサル・アルメギノ;44;PA;Autocratic Charmer;high;M35042;x
9007022;Head of State;カルロス・アルベルト・プエイレドン;36;FA;Ruthless Powermonger;high;M35011;x
9007023;Head of State;ファン・ドミンゴ・ペロン;45;LWR;Autocratic Charmer;high;M35021;x
9007024;Head of Government;アグスティン・P・フスト;36;SC;Old General;high;M35001;x
9007025;Head of Government;ルイス・ポデスタ・コスタ;38;SC;Backroom Backstabber;high;M35014;x
