U03;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
9002001;Head of State;サー・ヘンリー・ダフィールド・クラーク;36;ML;Stern Imperialist;high;M564001;x
9002002;Head of Government;サー・ジョン・アンダーソン;36;ML;Political Protege;high;M564002;x
9002003;Foreign Minister;サー・バートランド・グランシー;36;ML;Great Compromiser;high;M564003;x
9002004;Minister of Armament;アルバート・E・クラッターバック;36;ML;Corrupt Kleptocrat;high;M564004;x
9002005;Minister of Security;ハーバート・ウィリアム・エマーソン;36;ML;Prince of Terror;high;M564005;x
9002006;Head of Military Intelligence;フレデリック・ゴフ＝カルソープ;36;ML;Industrial Specialist;high;M564006;x
9002007;Chief of Staff;ウォレス・ダフィールド・ライト;36;ML;School of Defence;high;M564007;x
9002008;Chief of Army;B・G・E・ダイアー;36;ML;Static Defence Doctrine;high;M564008;x
9002009;Chief of Navy;ジョン・タルボット＝サヴィニャック・ホール;36;ML;Indirect Approach Doctrine;high;L1394;x
9002010;Chief of Air Force;ジェラルド・ヘンドリクソン;36;ML;Naval Aviation Doctrine;high;M564010;x
9002011;Head of State;イスカンデル・ミルザ;36;SD;Barking Buffoon;high;M59014;x
9002012;Head of State;H・H・ムハメド・シュジャ・ウル＝ムルク;36;PA;Resigned Generalissimo;high;M564012;x
9002013;Head of Government;ムハンマド・アリ・ジンナー;36;SD;Flamboyant Tough Guy;high;M59042;x
9002014;Head of Government;マノウォー太守ジャミアト2世;36;PA;old airmarshal;high;M564014;x
9002015;Foreign Minister;リアカット・アリ・カーン;36;SD;The Cloak N Dagger Schemer;high;M59052;x
9002016;Foreign Minister;モハンメド・アユブ・カーン;46;SD;General Staffer;high;M59049;x
9002017;Foreign Minister;H・H・ヌワン・カーン・ジョラワル;36;PA;Ideological Crusader;high;M564017;x
9002018;Minister of Armament;ザキル・フサイン博士;36;SD;Theoretical Scientist;high;M59066;x
9002019;Minister of Armament;ザヒド・フサイン;41;SD;Administrative Genius;high;M564019;x
9002020;Minister of Armament;フランシス・エドガー・カーニー;40;ML;Military Entrepreneur;high;M564020;x
9002021;Minister of Armament;メフタル・サイフ・ウル＝ラフマン;36;PA;Resource Industrialist;high;M564021;x
9002022;Minister of Security;リアカット・アリ・カーン;36;SD;Efficient Sociopath;high;M59052;x
9002023;Minister of Security;アブドゥル・アリ・カーン;44;SD;Man of the People;high;M59076;x
9002024;Minister of Security;エヴァン・メレディス・ジェンキンス;43;ML;Compassionate Gentleman;high;M564024;x
9002025;Minister of Security;H・H・ムザファル・ウル＝ムルク;36;PA;Back Stabber;high;M564025;x
9002026;Head of Military Intelligence;イフトカル・フセイン・メムドゥート;36;SD;Industrial Specialist;high;M59085;x
9002027;Head of Military Intelligence;ウィルフレッド・ハート＝サグデン;41;ML;Naval Intelligence Specialist;high;M564027;x
