U91;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
1056001;Head of State;アイザック・アルフレッド・アイザックス;36;SC;Stern Imperialist;High;M56001;x
1056002;Head of Government;ジョセフ・A・ライオンズ;36;SC;Flamboyant Tough Guy;High;M56002;x
1056003;Foreign Minister;ジョージ・F・ピアース;36;SC;Great Compromiser;High;M56003;x
1056004;Minister of Armament;ロバート・A・パークヒル;36;SC;Resource Industrialist;Medium;M56004;x
1056005;Minister of Security;トーマス・パターソン;36;SC;Silent Lawyer;Medium;M56005;x
1056006;Head of Military Intelligence;アレクサンダー・マクラクラン;36;SC;Technical Specialist;High;M56006;x
1056007;Chief of Staff;ジョセフ・A・ライオンズ;36;SC;School of Manoeuvre;Very High;M56002;x
1056008;Chief of Army;ジョン・ラヴァラック;36;SC;Static Defence Doctrine;Medium;M56008;x
1056009;Chief of Navy;ラグナー・M・コルヴィン;36;SC;Open Seas Doctrine;Medium;M56009;x
1056010;Chief of Air Force;リチャード・ウィリアムス;36;SC;Air Superiority Doctrine;Medium;M56010;x
1056031;Head of State;アレクサンダー・G・アークライト;36;SC;Stern Imperialist;High;M56031;x
1056032;Head of State;ヘンリー・デューク・オブ・グロスター;45;SC;Autocratic Charmer;High;M56032;x
1056035;Head of State;ポール・ローズヴィル;36;PA;Benevolent Gentleman;High;M56011;x
1056036;Head of State;ランス・シャーキー;36;LE;Barking Buffoon;High;M56021;x
1056037;Head of Government;ロバート・G・メンジース;37;SC;Backroom Backstabber;High;M56037;x
1056038;Head of Government;ジョン・J・カーティン;36;SD;Silent Workhorse;High;M56038;x
1056039;Head of Government;ベン・チフリー;45;SD;Political Protege;High;M56039;x
1056040;Head of Government;J・H・A・デュラント;36;PA;Happy Amateur;High;M56012;x
1056041;Head of Government;ランス・シャーキー;36;ST;Ambitious Union Boss;High;M56021;x
1056042;Foreign Minister;パーマー・A・マクブライド;36;SC;Iron Fisted Brute;High;M56042;x
1056043;Foreign Minister;ヘンリー・S・ガレット;37;SC;Great Compromiser;Medium;M56043;x
1056044;Foreign Minister;ウィリアム・M・ヒューズ;37;SC;Biased Intellectual;Very High;M56044;x
1056045;Foreign Minister;ロバート・G・メンジース;38;SC;Apologetic Clerk;Very High;M56037;x
1056046;Foreign Minister;フレデリック・スチュアート;39;SC;Ideological Crusader;High;M56046;x
1056047;Foreign Minister;トーマス・パターソン;41;SC;Biased Intellectual;Medium;M56005;x
1056048;Foreign Minister;アール・ページ;44;SC;Apologetic Clerk;Medium;M56048;x
1056049;Foreign Minister;ヴァーノン・スターディー;36;SD;General Staffer;Medium;M56049;x
1056050;Foreign Minister;ハーバート・V・エヴァット;41;SD;Biased Intellectual;High;M56050;x
1056051;Foreign Minister;ピーター・スピアリット;36;PA;General Staffer;Low;M56013;x
1056052;Foreign Minister;フランセスコ・ピッツェリ;40;PA;The Cloak N Dagger Schemer;High;M56052;x
1056053;Foreign Minister;ヒュー・モクソン;36;ST;Ideological Crusader;High;M56023;x
1056054;Foreign Minister;ジョージ・ベイトマン;42;LE;Biased Intellectual;High;M56054;x
1056055;Foreign Minister;ジョン・マコーリー;44;ST;Great Compromiser;High;M56055;x
1056056;Minister of Armament;エドワード・デイヴィス・ミレン;36;ML;Resource Industrialist;High;M56056;x
1056057;Minister of Armament;G・A・ストリート;37;SC;Administrative Genius;High;M56046;x
1056058;Minister of Armament;ハティル・S・フォール;40;SC;Administrative Genius;Medium;M56058;x
1056059;Minister of Armament;W・D・ボストック;43;SC;Air to Sea Proponent;High;M56059;x
1056060;Minister of Armament;パーマー・A・マクブライド;50;SC;Infantry Proponent;High;M56042;x
1056061;Minister of Armament;ノーマン・J・メーキン;37;SD;Military Entrepreneur;Medium;M56061;x
1056062;Minister of Armament;スタンリー・メルボルン・ブルース;38;SD;laissez-faire capitalist;High;M56062;x
1056063;Minister of Armament;A・M・G・ジョーンズ;39;SD;Strategic Air Proponent;High;M56063;x
1056064;Minister of Armament;ヘンリー・シャワーズ;41;SD;Battle Fleet Proponent;Medium;M56064;x
1056065;Minister of Armament;ホラス・ウィリアム・ストラット;43;SD;Infantry Proponent;Medium;M56065;x
1056066;Minister of Armament;シドニー・ローウェル;43;SD;Tank Proponent;Medium;M56066;x
1056067;Minister of Armament;スタンリー・J・ゴーブル;44;SD;Air to Ground Proponent;Medium;M56067;x
1056068;Minister of Armament;ガイ・C・C・ロイル;44;SD;Submarine Proponent;Medium;M56068;x
1056069;Minister of Armament;ジョン・ラヴァラック;44;SD;Military Entrepreneur;Medium;M56008;x
1056070;Minister of Armament;リチャード・ウィリアムス;44;SD;Air Superiority Proponent;Medium;M56010;x
1056071;Minister of Armament;フランセスコ・ファンティン;36;PA;Battle Fleet Proponent;Medium;M56014;x
1056072;Minister of Armament;フランク・カーマグノロ;39;PA;Strategic Air Proponent;Medium;M56072;x
1056073;Minister of Armament;ポール・ローズヴィル;42;PA;Air Superiority Proponent;Very High;M56011;x
1056074;Minister of Armament;リチャード・オーヴァーレル;44;PA;Administrative Genius;Very High;M56074;x
1056075;Minister of Armament;ジャック・ヘンリー;36;LE;Military Entrepreneur;Medium;M56024;x
1056076;Minister of Armament;ジム・ヘンダーソン;39;ST;Infantry Proponent;Medium;M56076;x
1056077;Minister of Armament;トニー・マクギリック;44;ST;Theoretical Scientist;High;M56077;x
1056078;Minister of Security;ケネス・イーサー;36;ML;Efficient Sociopath;High;M56078;x
1056079;Minister of Security;アレクサンダー・マクラクラン;37;SC;Crime Fighter;High;M56006;x
1056080;Minister of Security;アール・ページ;37;SC;Man of the People;Medium;M56048;x
1056081;Minister of Security;ヘンリー・S・ガレット;39;SC;Prince of Terror;Medium;M56043;x
1056082;Minister of Security;ハティル・S・フォール;41;SC;Compassionate Gentleman;Medium;M56058;x
1056083;Minister of Security;ジョージ・F・ピアース;36;SC;Silent Lawyer;High;M56003;x
1056084;Minister of Security;ロバート・A・パークヒル;44;SC;Compassionate Gentleman;Medium;M56004;x
1056085;Minister of Security;ヒューバート・P・ラザリーニ;37;SD;Silent Lawyer;Medium;M56085;x
1056086;Minister of Security;ハーバート・V・エヴァット;41;SD;Back Stabber;High;M56050;x
1056087;Minister of Security;ジェームズ・マッカーシー;36;PA;Crime Fighter;Medium;M56015;x
1056088;Minister of Security;J・H・A・デュラント;39;PA;Compassionate Gentleman;High;M56012;x
