##### ―ユニット― #####;;;;;;;;;;X 
##### ―陸上兵器― #####;;;;;;;;;;X
#### 戦術歩行戦闘機/改修機;;;;;;;;;;X
## 第一世代;;;;;;;;;;X
MODEL_JAP_0_0;TSF-TYPE77/F-4J-C 撃震改;;;;;;;;;;X
MODEL_JAP_0_1;TSF-TYPE77/F-4J-C 撃震改;;;;;;;;;;X
MODEL_JAP_0_2;TSF-TYPE77/F-4J-C 撃震改;;;;;;;;;;X
MODEL_JAP_0_3;TSF-TYPE77/F-4J-C 撃震改;;;;;;;;;;X
MODEL_JAP_0_4;TSF-TYPE77/F-4J-C 撃震改;;;;;;;;;;X
MODEL_USA_0_0;F-4E_Phantom;;;;;;;;;;X
MODEL_USA_0_1;F-4E_Phantom;;;;;;;;;;X
MODEL_USA_0_2;F-4E_Phantom;;;;;;;;;;X
MODEL_USA_0_3;F-4E_Phantom;;;;;;;;;;X
MODEL_USA_0_4;F-4E_Phantom;;;;;;;;;;X
MODEL_SOV_0_0;MiG-23_Chiborashuka;;;;;;;;;;X
MODEL_SOV_0_1;MiG-23_Chiborashuka;;;;;;;;;;X
MODEL_SOV_0_2;MiG-23_Chiborashuka;;;;;;;;;;X
MODEL_SOV_0_3;MiG-23_Chiborashuka;;;;;;;;;;X
MODEL_SOV_0_4;MiG-23_Chiborashuka;;;;;;;;;;X
MODEL_U01_0_0;F-4E_Phantom;;;;;;;;;;X
MODEL_U01_0_1;F-4E_Phantom;;;;;;;;;;X
MODEL_U01_0_2;F-4E_Phantom;;;;;;;;;;X
MODEL_U01_0_3;F-4E_Phantom;;;;;;;;;;X
MODEL_U01_0_4;F-4E_Phantom;;;;;;;;;;X
MODEL_U02_0_0;F-5E/G/I_IDS_Tornade;;;;;;;;;;X
MODEL_U02_0_1;F-5E/G/I_IDS Tornade;;;;;;;;;;X
MODEL_U02_0_2;F-5E/G/I_IDS_Tornade;;;;;;;;;;X
MODEL_U02_0_3;F-5E/G/I_IDS_Tornade;;;;;;;;;;X
MODEL_U02_0_4;F-5E/G/I_IDS_Tornade;;;;;;;;;;X
MODEL_U04_0_0;F-4E_Phantom;;;;;;;;;;X
MODEL_U04_0_1;F-4E_Phantom;;;;;;;;;;X
MODEL_U04_0_2;F-4E_Phantom;;;;;;;;;;X
MODEL_U04_0_3;F-4E_Phantom;;;;;;;;;;X
MODEL_U04_0_4;F-4E_Phantom;;;;;;;;;;X
MODEL_U05_0_0;殲撃8型;;;;;;;;;;X
MODEL_U05_0_1;殲撃8型;;;;;;;;;;X
MODEL_U05_0_2;殲撃8型;;;;;;;;;;X
MODEL_U05_0_3;殲撃8型;;;;;;;;;;X
MODEL_U05_0_4;殲撃8型;;;;;;;;;;X
MODEL_U06_0_0;F-4E_Phantom;;;;;;;;;;X
MODEL_U06_0_1;F-4E_Phantom;;;;;;;;;;X
MODEL_U06_0_2;F-4E_Phantom;;;;;;;;;;X
MODEL_U06_0_3;F-4E_Phantom;;;;;;;;;;X
MODEL_U06_0_4;F-4E_Phantom;;;;;;;;;;X
MODEL_DDR_0_0;MiG-23_Chiborashuka;;;;;;;;;;X
MODEL_DDR_0_1;MiG-23_Chiborashuka;;;;;;;;;;X
MODEL_DDR_0_2;MiG-23_Chiborashuka;;;;;;;;;;X
MODEL_DDR_0_3;MiG-23_Chiborashuka;;;;;;;;;;X
MODEL_DDR_0_4;MiG-23_Chiborashuka;;;;;;;;;;X
## 第二世代;;;;;;;;;;X
MODEL_JAP_0_5;TSF-TYPE77/F-15SEJ 月虹;;;;;;;;;;X
MODEL_JAP_0_6;TSF-TYPE77/F-15SEJ 月虹;;;;;;;;;;X
