#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ****************************************************************************************************;;;;;;;;;;;X
##;;;;;;;;;;;X
#  Technology System Techs below here..;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
RT_ARTILLERY;火砲;;;;;;;;;;X
RT_MECHANICS;機械工学;;;;;;;;;;X
RT_ELECTRONICS;電子工学;;;;;;;;;;X
RT_CHEMISTRY;化学;;;;;;;;;;X
RT_TRAINING;訓練;;;;;;;;;;X
RT_GENERAL_EQUIPMENT;一般装備;;;;;;;;;;X
RT_ROCKETRY;ロケット工学;;;;;;;;;;X
RT_NAVAL_ENGINEERING;海軍工学;;;;;;;;;;X
RT_AERONAUTICS;航空学;;;;;;;;;;X
RT_NUCLEAR_PHYSICS;核物理学;;;;;;;;;;X
RT_NUCLEAR_ENGINEERING;核工学;;;;;;;;;;X
RT_MANAGEMENT;管理;;;;;;;;;;X
RT_INDUSTRIAL_ENGINEERING;産業工学;;;;;;;;;;X
RT_MATHEMATICS;数学;;;;;;;;;;X
RT_SMALL_UNIT_TACTICS;小規模部隊戦術;;;;;;;;;;X
RT_LARGE_UNIT_TACTICS;大規模部隊戦術;;;;;;;;;;X
RT_CENTRALIZED_EXECUTION;集中実行;;;;;;;;;;X
RT_DECENTRALIZED_EXECUTION;分散実行;;;;;;;;;;X
RT_TECHNICAL_EFFICIENCY;技術効率;;;;;;;;;;X
RT_INDIVIDUAL_COURAGE;各自の勇気;;;;;;;;;;X
RT_INFANTRY_FOCUS;歩兵重視;;;;;;;;;;X
RT_COMBINED_ARMS_FOCUS;諸兵科連合部隊重視;;;;;;;;;;X
RT_LARGE_UNIT_FOCUS;大規模部隊重視;;;;;;;;;;X
RT_NAVAL_ARTILLERY;艦砲;;;;;;;;;;X
RT_NAVAL_TRAINING;海軍訓練;;;;;;;;;;X
RT_AIRCRAFT_TESTING;航空機試験;;;;;;;;;;X
RT_FIGHTER_TACTICS;戦闘機戦術;;;;;;;;;;X
RT_BOMBER_TACTICS;爆撃機戦術;;;;;;;;;;X
RT_LARGE_TASKFORCE_TACTICS;大規模機動部隊戦術;;;;;;;;;;X
RT_SMALL_TASKFORCE_TACTICS;小規模機動部隊戦術;;;;;;;;;;X
RT_SEAMANSHIP;操船術;;;;;;;;;;X
RT_PILOTING;沿岸航法;;;;;;;;;;X
RT_SUBMARINE_TACTICS;潜水艦戦術;;;;;;;;;;X
RT_CARRIER_TACTICS;空母戦術;;;;;;;;;;X
RT_AVIONICS;航空電子工学;;;;;;;;;;X
RT_MUNITIONS;弾薬;;;;;;;;;;X
RT_VEHICLE_ENGINEERING;車両工学;;;;;;;;;;X
RT_CARRIER_DESIGN;空母設計;;;;;;;;;;X
RT_SUBMARINE_DESIGN;潜水艦設計;;;;;;;;;;X
RT_FIGHTER_DESIGN;戦闘機設計;;;;;;;;;;X
RT_BOMBER_DESIGN;爆撃機設計;;;;;;;;;;X
RT_MOUNTAIN_TRAINING;山岳訓練;;;;;;;;;;X
RT_AIRBORNE_TRAINING;空挺訓練;;;;;;;;;;X
RT_MARINE_TRAINING;海兵訓練;;;;;;;;;;X
RT_MANEUVER_TACTICS;機動戦術;;;;;;;;;;X
RT_BLITZKRIEG_TACTICS;電撃戦戦術;;;;;;;;;;X
