#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X;
#  ========================;;;;;;;;;;;X;
#####;;;;;;;;;;;X;
################################# ユニット・旅団名称 #################################;;;;;;;;;;;X;
#####;;;;;;;;;;;X;
NAME_INFANTRY;戦術機/改修機;;;;;;;;;;X;
NAME_CAVALRY;斯衛/無人戦術歩行戦闘機;;;;;;;;;;X;
NAME_MOTORIZED;航空機動要塞/特殊機;;;;;;;;;;X;
NAME_MECHANIZED;機械化歩兵/艦載機;;;;;;;;;;X;
NAME_LIGHT_ARMOR;歩兵戦闘車;;;;;;;;;;X;
NAME_ARMOR;主力戦車;;;;;;;;;;X;
NAME_PARATROOPER;戦術歩行戦闘機;;;;;;;;;;X;
NAME_MARINE;局地戦用強襲攻撃機;;;;;;;;;;X;
NAME_BERGSJAEGER;戦術攻撃機;;;;;;;;;;X;
NAME_MILITIA;練習機;;;;;;;;;;X;
NAME_GARRISON;自走支援担保;;;;;;;;;;X;
NAME_HQ;司令部;;;;;;;;;;X;
NAME_FIGHTER;多用途戦闘機;;;;;;;;;;X;
NAME_INTERCEPTOR;要撃戦闘機;;;;;;;;;;X;
NAME_MULTI_ROLE;多用途戦闘機;;;;;;;;;;X;
NAME_ESCORT;護衛戦闘機;;;;;;;;;;X;
NAME_STRATEGIC_BOMBER;戦略爆撃機;;;;;;;;;;X;
NAME_TACTICAL_BOMBER;戦術爆撃機;;;;;;;;;;X;
NAME_NAVAL_BOMBER;攻撃機;;;;;;;;;;X;
NAME_TRANSPORT_PLANE;輸送機;;;;;;;;;;X;
NAME_BATTLESHIP;戦艦;;;;;;;;;;X;
NAME_LIGHT_CRUISER;ミサイル艇;;;;;;;;;;X;
NAME_HEAVY_CRUISER;巡洋艦;;;;;;;;;;X;
NAME_BATTLECRUISER;ロケット砲艦;;;;;;;;;;X;
NAME_DESTROYER;駆逐艦;;;;;;;;;;X;
NAME_ESCORT_CARRIER;ヘリ空母;;;;;;;;;;X;
NAME_CARRIER;空母;;;;;;;;;;X;
NAME_SUBMARINE;潜水艦;;;;;;;;;;X;
NAME_NUCLEAR_SUBMARINE;原子力潜水艦;;;;;;;;;;X;
NAME_TRANSPORT;揚陸艦;;;;;;;;;;X;
NAME_FLYING_BOMB;戦術ミサイル;;;;;;;;;;X;
NAME_FLYING_ROCKET;戦略ミサイル;;;;;;;;;;X;
NAME_HSSD;装甲駆逐艦;;;;;;;;;;X;
NAME_HSST;再突入型駆逐艦;;;;;;;;;;X;
